,score,kappa,accuracy,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
0,0.975,0.95,0.975,CSP+optSVM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
1,0.95,0.9,0.95,FgMDM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
2,0.975,0.95,0.975,ensemble,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
3,0.975,0.95,0.975,cov+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
4,0.7249999999999999,0.44999999999999996,0.725,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
5,0.9,0.8,0.9,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
6,0.95,0.9,0.95,CSP+optSVM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
7,1.0,1.0,1.0,FgMDM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
8,1.0,1.0,1.0,ensemble,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
9,1.0,1.0,1.0,cov+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
10,0.6499999999999999,0.30000000000000004,0.6499999999999999,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
11,0.95,0.9,0.95,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
12,0.975,0.95,0.975,CSP+optSVM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
13,1.0,1.0,1.0,FgMDM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
14,0.975,0.95,0.975,ensemble,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
15,0.9249999999999999,0.85,0.925,cov+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
16,0.7500000000000001,0.5,0.75,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
17,0.95,0.9,0.95,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
18,1.0,1.0,1.0,CSP+optSVM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
19,1.0,1.0,1.0,FgMDM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
20,1.0,1.0,1.0,ensemble,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
21,1.0,1.0,1.0,cov+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
22,0.575,0.15000000000000002,0.575,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
23,0.9500000000000001,0.9,0.95,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,3
24,0.9249999999999999,0.85,0.925,CSP+optSVM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
25,0.9249999999999999,0.85,0.925,FgMDM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
26,0.9500000000000001,0.9,0.95,ensemble,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
27,0.975,0.95,0.975,cov+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
28,0.65,0.30000000000000004,0.6499999999999999,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
29,0.85,0.7,0.85,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,4
